rating,text,title,combined_text,predicted_rating_bert,predicted_rating_roberta
4.0,I bought this bc I thought it had the nice white background. Turns out it’s clear & since my phone is blue it doesn’t look anything like this.  If I had known that I would have purchased something else. It works ok.,No white background! It’s clear!,No white background! It’s clear!. I bought this bc I thought it had the nice white background. Turns out it’s clear & since my phone is blue it doesn’t look anything like this.  If I had known that I would have purchased something else. It works ok.,2,5
5.0,Perfect. How pissed am I that I recently paid $20 for 1 Fitbit cable and promptly lost the damned thing?  Extremely pissed!  I keep the spare in my medicine bag so hopefully I won’t lose it and my grandson can’t get to it and try to use it as a belt or a dog leash or any of the other nutty things he’s been using the other one for.,Awesome!  Great price!  Works well!,Awesome!  Great price!  Works well!. Perfect. How pissed am I that I recently paid $20 for 1 Fitbit cable and promptly lost the damned thing?  Extremely pissed!  I keep the spare in my medicine bag so hopefully I won’t lose it and my grandson can’t get to it and try to use it as a belt or a dog leash or any of the other nutty things he’s been using the other one for.,4,1
5.0,Overall very happy with the end result. If you hate puzzles don’t do it. I love puzzles and it worked for me. Took a lot of concentration and attention to detail and about an hour! The YouTube video helped a ton with installing the new screen. Highly recommend using a how to video when replacing your screen. The tools and supplies they provided were adequate. I did use additional tools from my home to successfully installed a new screen. My screws on the inside of the iPhone were stuck and I had to use an X-Acto knife to get them to come out. The glass Screen for the iPhone was beautiful and worked great. The screen protector that was additional came cracked (Not a big deal as it was extra in my eyes). I did need to use the X-Acto knife to cut off part of a plastic piece to make the final fit. So yes I modified the screen and instructions but ended up working great for me.<br /><br />I was very careful with all of the circuit boards and connections as recommended on the YouTube video. My screen replacement was very successful and I’m very happy with how it turned out.,Worked but took an hour to install,Worked but took an hour to install. Overall very happy with the end result. If you hate puzzles don’t do it. I love puzzles and it worked for me. Took a lot of concentration and attention to detail and about an hour! The YouTube video helped a ton with installing the new screen. Highly recommend using a how to video when replacing your screen. The tools and supplies they provided were adequate. I did use additional tools from my home to successfully installed a new screen. My screws on the inside of the iPhone were stuck and I had to use an X-Acto knife to get them to come out. The glass Screen for the iPhone was beautiful and worked great. The screen protector that was additional came cracked (Not a big deal as it was extra in my eyes). I did need to use the X-Acto knife to cut off part of a plastic piece to make the final fit. So yes I modified the screen and instructions but ended up working great for me.<br /><br />I was very careful with all of the circuit boards and connections as recommended on the YouTube video. My screen replacement was very successful and I’m very happy with how it turned out.,3,5
4.0,Lasted about 9 months then the lock button broke off. Decent product but costing scrapes off like crazy.  I shredded this case. Protected my phone tho,Decent,Decent. Lasted about 9 months then the lock button broke off. Decent product but costing scrapes off like crazy.  I shredded this case. Protected my phone tho,2,1
5.0,LOVE THIS CASE! Works better than my expensive $35 cases! lol,LOVE IT!,LOVE IT!. LOVE THIS CASE! Works better than my expensive $35 cases! lol,4,5
5.0,This item works great with my IPhone 13 with Magna Case on it. Also charges my Apple watch & IPods all at the same time. No issues at all. Fast shipping was great! On of the best chargers I have owned.,Works Great with my IPhone 13 & Magna Case!,Works Great with my IPhone 13 & Magna Case!. This item works great with my IPhone 13 with Magna Case on it. Also charges my Apple watch & IPods all at the same time. No issues at all. Fast shipping was great! On of the best chargers I have owned.,4,5
5.0,Item came as described! Fast shipping & east to install!,Great item! Easy to install!,Great item! Easy to install!. Item came as described! Fast shipping & east to install!,4,5
4.0,Stocking stuffers for my boys & they liked them.,Four Stars,Four Stars. Stocking stuffers for my boys & they liked them.,3,5
5.0,My son loves his camo case! It is a great value & protects the phone from the normal wear & tear of a pre teen!,It is a great value & protects the phone from the normal wear ...,It is a great value & protects the phone from the normal wear .... My son loves his camo case! It is a great value & protects the phone from the normal wear & tear of a pre teen!,4,5
5.0,"These work. It is a little difficult to get the yellow side off the sticky but, otherwise a great product!",Good to have these around!,"Good to have these around!. These work. It is a little difficult to get the yellow side off the sticky but, otherwise a great product!",3,5
5.0,These really work! I like having one in my bathroom near the medicine cabinet when I'm getting ready for work and one on the wall by my desk connected to the charger. This way I don't lose it or get water on it.,These work!,These work!. These really work! I like having one in my bathroom near the medicine cabinet when I'm getting ready for work and one on the wall by my desk connected to the charger. This way I don't lose it or get water on it.,4,5
5.0,These big phones are so hard for me to hang onto in my little hand. This case with a popsocket is the best!,Finally something I can Hang onto!,Finally something I can Hang onto!. These big phones are so hard for me to hang onto in my little hand. This case with a popsocket is the best!,4,5
5.0,"Works great, looks great, sticks, great!","Great, great, great!","Great, great, great!. Works great, looks great, sticks, great!",4,5
5.0,"Some people have given this less favorable reviews. My feeling is that for the price, It's VERY good. It's grippy, it fits well, the portals are unobstructed and it's slim. Not bulky at all. I wish they had more colors because, for the price, I would have several. My popsocket sticks to it too!",Great value!,"Great value!. Some people have given this less favorable reviews. My feeling is that for the price, It's VERY good. It's grippy, it fits well, the portals are unobstructed and it's slim. Not bulky at all. I wish they had more colors because, for the price, I would have several. My popsocket sticks to it too!",3,5
4.0,Great fit and love the color. Just enough grip and non-skid in the car. The charger is a little bit annoying to plug in because the bottom tend to overlap a tiny bit so you have to plug in at an angle...but it works fine.,Great fit and love the color,Great fit and love the color. Great fit and love the color. Just enough grip and non-skid in the car. The charger is a little bit annoying to plug in because the bottom tend to overlap a tiny bit so you have to plug in at an angle...but it works fine.,3,5
3.0,It's hard to separate the ring from the inner circle..it's hard to grab. It does at least rotate. Now laying your phone flat is not an option though.,It's ok,It's ok. It's hard to separate the ring from the inner circle..it's hard to grab. It does at least rotate. Now laying your phone flat is not an option though.,2,3
2.0,"Putting it on a night stand drawer or top of headboard.  Just don't try to tighten it up to where it doesn't slip off.  When the husband tightened his up it popped off and cracked the head on the base.  Hope they stand behind the product, we will see?",Don't try to tighten it up!!,"Don't try to tighten it up!!. Putting it on a night stand drawer or top of headboard.  Just don't try to tighten it up to where it doesn't slip off.  When the husband tightened his up it popped off and cracked the head on the base.  Hope they stand behind the product, we will see?",0,1
5.0,We've survived a few drops. Nice case.,Does a good job of protecting my phone,Does a good job of protecting my phone. We've survived a few drops. Nice case.,3,5
5.0,"I got these for my wife and she loves them. They fit her really well and sound pretty good. I wouldn't compare them to something like bose qc 35 or sony's flagship, but rather to offerings from mpow,anker,aukey etc. I think they perform just as good as the 60-80 dollar competitors.","Light, good sound, cheaper than most","Light, good sound, cheaper than most. I got these for my wife and she loves them. They fit her really well and sound pretty good. I wouldn't compare them to something like bose qc 35 or sony's flagship, but rather to offerings from mpow,anker,aukey etc. I think they perform just as good as the 60-80 dollar competitors.",3,5
5.0,"Went on perfect. Clean phone with wet wipe, then dry wipe. then microfiber and dust pickup stickers. Pull the tab off and lay the glass screen on the phone. It should go on with the bubbles escaping by itself. Took ten minutes and I have no bubbles or dust under the screen from what I can see.",Perfect and easy,"Perfect and easy. Went on perfect. Clean phone with wet wipe, then dry wipe. then microfiber and dust pickup stickers. Pull the tab off and lay the glass screen on the phone. It should go on with the bubbles escaping by itself. Took ten minutes and I have no bubbles or dust under the screen from what I can see.",4,5
5.0,"Fits and stays in vent while holding a moto x with an otter box. The magnet is still very strong through the case. For the price, it's hard to beat and I would recommend to anyone who can spare to lose an air vent.",Simple and works,"Simple and works. Fits and stays in vent while holding a moto x with an otter box. The magnet is still very strong through the case. For the price, it's hard to beat and I would recommend to anyone who can spare to lose an air vent.",3,5
5.0,Better than the straight original because wire doesn't break when used a lot in portrait alignment.,Better than the straight original.,Better than the straight original.. Better than the straight original because wire doesn't break when used a lot in portrait alignment.,3,5
5.0,It was perfect,Perfect,Perfect. It was perfect,4,5
5.0,Fast charging,Fast,Fast. Fast charging,3,3
5.0,Great band. Fits perfectly and adjustable.,Great Band,Great Band. Great band. Fits perfectly and adjustable.,4,5
5.0,Works great!,Awesome product,Awesome product. Works great!,4,5
5.0,"Great case. Stylish, durable and not bulky.",Great product,"Great product. Great case. Stylish, durable and not bulky.",4,5
2.0,A bit complicated to apply. Requires spraying adhesive on a cloth in order to apply to watch face. Instructs you to wait a few days before all the air bubbles dry. Did not want to put something so permanent on my new Apple watch.,A bit complicated to apply. Requires spraying adhesive on ...,A bit complicated to apply. Requires spraying adhesive on .... A bit complicated to apply. Requires spraying adhesive on a cloth in order to apply to watch face. Instructs you to wait a few days before all the air bubbles dry. Did not want to put something so permanent on my new Apple watch.,2,1
5.0,"Adorable, and good quality. the service was on time and easy.",Yeah  okay,"Yeah  okay. Adorable, and good quality. the service was on time and easy.",3,5
5.0,"Yep, this is what I expected",Five Stars,"Five Stars. Yep, this is what I expected",4,5
1.0,"This product is cheaply made, some of the parts are missing, and the directions do not help at all. The product is not as represented both in the description and what I received is nothing like what i see in many of the customer photos. It would cost me more to return this than I paid for it, so in the trash it's going.",Buyer BEWARE!!,"Buyer BEWARE!!. This product is cheaply made, some of the parts are missing, and the directions do not help at all. The product is not as represented both in the description and what I received is nothing like what i see in many of the customer photos. It would cost me more to return this than I paid for it, so in the trash it's going.",0,1
5.0,"This product works perfectly and the price is amazing. I already ordered a second one so I can have one in the living room and one on my nightstand in my bedroom. Great product, works as advertised.",Excellent,"Excellent. This product works perfectly and the price is amazing. I already ordered a second one so I can have one in the living room and one on my nightstand in my bedroom. Great product, works as advertised.",4,5
4.0,It was ok wasn't what I wanted. Endy up ordering a different  one.,Well made,Well made. It was ok wasn't what I wanted. Endy up ordering a different  one.,2,3
5.0,It was a gift.  She liked it.,It nice to have a place for cards,It nice to have a place for cards. It was a gift.  She liked it.,3,5
5.0,My sister love it butter then any I have give her.,It holds your cards and pictures,It holds your cards and pictures. My sister love it butter then any I have give her.,4,5
1.0,"I absolutely do not like this phone. Screen is small and phone is slow, laggy and won't charge while plugged in. I knew this was not an expensive phone but I didn't think it would be this bad.",Returning as soon as I can.,"Returning as soon as I can.. I absolutely do not like this phone. Screen is small and phone is slow, laggy and won't charge while plugged in. I knew this was not an expensive phone but I didn't think it would be this bad.",0,1
5.0,Nice phone with decent sized screen. Charges fast. You can also use a simple mobile sim card in this phone. Good phone for people who don't enjoy frills and thrills,Very nice,Very nice. Nice phone with decent sized screen. Charges fast. You can also use a simple mobile sim card in this phone. Good phone for people who don't enjoy frills and thrills,3,5
5.0,Wrks great to power up my Kindle Fire.  Great price and arrived quickly.,Five Stars,Five Stars. Wrks great to power up my Kindle Fire.  Great price and arrived quickly.,4,5
5.0,perfect for what I needed does take some moving around to getting it charged with case on,excellent product,excellent product. perfect for what I needed does take some moving around to getting it charged with case on,4,5
5.0,Love this.....it's amazing and haven't lost any gems.  When others see it they want it!  So I tell them where to buy it!!!!,"Love, love  and I get so many compliments!","Love, love  and I get so many compliments!. Love this.....it's amazing and haven't lost any gems.  When others see it they want it!  So I tell them where to buy it!!!!",4,5
5.0,"I purchased this as a gift, she loved it.  Especially the hat on the yoga kitty.  It is very cute and useful too.",Was a gift and it was loved,"Was a gift and it was loved. I purchased this as a gift, she loved it.  Especially the hat on the yoga kitty.  It is very cute and useful too.",4,5
1.0,"Refurbished so I expected it to work well but it gives me trouble on and off.  Trouble in terms of dropping out going calls, many times it won't send my text messages and there are times I have learned of missed calls coming in which isn't good when you use this as your only phone.  I realize I saved some money on getting the refurbished model to replace my original but am now thinking I have to spend the money to get something that would be really reliable on a consistent basis.  I don't blame the folks who refurbished it because it probably worked for them when testing it out.",Not a solid purchase,"Not a solid purchase. Refurbished so I expected it to work well but it gives me trouble on and off.  Trouble in terms of dropping out going calls, many times it won't send my text messages and there are times I have learned of missed calls coming in which isn't good when you use this as your only phone.  I realize I saved some money on getting the refurbished model to replace my original but am now thinking I have to spend the money to get something that would be really reliable on a consistent basis.  I don't blame the folks who refurbished it because it probably worked for them when testing it out.",1,1
5.0,Very nice to use.  In fact I only bought one and will need to purchase more because my family fights over it....which is nice.  Just wish it came in a better assortment of colors.,Love it,Love it. Very nice to use.  In fact I only bought one and will need to purchase more because my family fights over it....which is nice.  Just wish it came in a better assortment of colors.,3,5
4.0,"I like this virgin phone, it's held up very well and is easy to use.  It's hard to find much variety in the virgin phones anymore that don't have some form of contract so that's the only downside.",Good purchase,"Good purchase. I like this virgin phone, it's held up very well and is easy to use.  It's hard to find much variety in the virgin phones anymore that don't have some form of contract so that's the only downside.",3,5
5.0,awesome bracket! really am pleased!,Five Stars,Five Stars. awesome bracket! really am pleased!,4,5
2.0,WRONG CABLE. . .DID NOT USE. . .,WRONG CABLE... DID NOT USE.. ...,WRONG CABLE... DID NOT USE.. .... WRONG CABLE. . .DID NOT USE. . .,0,1
5.0,It works great!!!!,Five Stars,Five Stars. It works great!!!!,4,5
5.0,"Quick delivery, outstanding quality and looks fantastic!!",Great case,"Great case. Quick delivery, outstanding quality and looks fantastic!!",4,5
2.0,I didn’t like this product because water got inside.,I wouldn’t buy again,I wouldn’t buy again. I didn’t like this product because water got inside.,1,1
3.0,"Broke the first day I got it, but I liked it.",but I liked it.,"but I liked it.. Broke the first day I got it, but I liked it.",2,5
3.0,"Doesn't cover the entire screen, does its job of being a reflective surface, however you get what you pay for when it comes to this. Not so crazy cool, but works for now until I decide to buy another one.","Not so crazy cool, but works for now until I decide to ...","Not so crazy cool, but works for now until I decide to .... Doesn't cover the entire screen, does its job of being a reflective surface, however you get what you pay for when it comes to this. Not so crazy cool, but works for now until I decide to buy another one.",2,3
3.0,"You get what you pay for, not for protective wear in the slightest but still a cool parlor trick.",not for protective wear in the slightest but still a cool parlor trick,"not for protective wear in the slightest but still a cool parlor trick. You get what you pay for, not for protective wear in the slightest but still a cool parlor trick.",3,3
1.0,"Got it in the mail and was way too excited to use it, I usually only get 10% charged on my phone and the thing is done.",Got it in the mail and was way too excited ...,"Got it in the mail and was way too excited .... Got it in the mail and was way too excited to use it, I usually only get 10% charged on my phone and the thing is done.",1,5
3.0,"Wouldn't buy it again, but it's a very sturdy, bulky case. Kickstand is somewhat useful. Case is nice and sharp looking. Wished the front part extended above the screen of my phone, so I wouldn't have to worry about scratches. 3/5.","but it's a very sturdy, bulky case","but it's a very sturdy, bulky case. Wouldn't buy it again, but it's a very sturdy, bulky case. Kickstand is somewhat useful. Case is nice and sharp looking. Wished the front part extended above the screen of my phone, so I wouldn't have to worry about scratches. 3/5.",2,5
5.0,I like the design & the weight of the case feels comfortable,Pretty,Pretty. I like the design & the weight of the case feels comfortable,3,5
1.0,Fell apart right away.  Clamps get in the way of the buttons on iPhone 5,One Star,One Star. Fell apart right away.  Clamps get in the way of the buttons on iPhone 5,0,1
5.0,Have bought this brand for a few years. I have had my current one on for 2 years. Bought these for my husband’s upgrade,Great protection,Great protection. Have bought this brand for a few years. I have had my current one on for 2 years. Bought these for my husband’s upgrade,4,5
